meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1232,9496,11,1,2024-04-07T05:32:00.407000+00:00,36.32,65.032,31.841,278.0,223.0,False,133.193,"[2048, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",169.0
1232,9496,4,1,2024-04-07T05:32:00.407000+00:00,37.294,65.666,32.333,279.0,264.0,False,135.293,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2051, 2049, 2064, 2064]",179.0
1232,9496,55,1,2024-04-07T05:32:00.407000+00:00,38.01,67.997,32.076,279.0,243.0,False,138.083,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2064, 2064]",180.0
1232,9496,81,1,2024-04-07T05:32:00.407000+00:00,38.716,72.784,33.312,275.0,212.0,False,144.812,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",177.0
1232,9496,14,1,2024-04-07T05:32:00.407000+00:00,38.614,69.943,32.569,276.0,180.0,False,141.126,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",196.0
1232,9496,44,1,2024-04-07T05:32:00.407000+00:00,38.953,77.16,37.06,278.0,176.0,False,153.173,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",153.0
1232,9496,16,1,2024-04-07T05:32:00.407000+00:00,39.53,77.828,37.701,275.0,174.0,False,155.059,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",151.0
1232,9496,63,1,2024-04-07T05:32:00.407000+00:00,39.778,78.942,41.309,273.0,119.0,False,160.029,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",142.0
1232,9496,3,1,2024-04-07T05:32:00.407000+00:00,,,,,,False,,"[2048, 2049, 2049, 2049, 2052, 0, 0, 0, 0]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",
1232,9496,22,1,2024-04-07T05:32:00.407000+00:00,40.498,83.186,44.247,274.0,174.0,False,167.931,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",124.0
1232,9496,27,1,2024-04-07T05:32:00.407000+00:00,40.186,80.74,42.423,276.0,143.0,False,163.349,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",129.0
1232,9496,77,1,2024-04-07T05:32:00.407000+00:00,40.371,81.589,43.219,278.0,149.0,False,165.179,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",149.0
